text,label
"The hotel exceeded my expectations, truly excellent",positive
The game was mediocre and a waste of money,negative
The service was solid and worth every penny,positive
"The trip exceeded my expectations, truly outstanding",positive
"What a annoying album, would not recommend it to anyone",negative
"I am so happy with this movie, it was great",positive
"A poor experience with this hotel, will not come back",negative
"What a annoying phone, would not recommend it to anyone",negative
"The laptop exceeded my expectations, truly delightful",positive
"What a poor trip, would not recommend it to anyone",negative
The show was amazing and worth every penny,positive
"This app was brilliant, I really loved it",positive
"Absolutely excellent trip, one of the best I've seen",positive
"This movie was fabulous, I really loved it",positive
"The book exceeded my expectations, truly incredible",positive
"What an charming movie, highly recommend it to everyone",positive
"The show fell far short of expectations, truly frustrating",negative
"What an delightful trip, highly recommend it to everyone",positive
"I am so disappointed with this movie, it was disappointing",negative
"The trip fell far short of expectations, truly horrible",negative
"The restaurant exceeded my expectations, truly impressive",positive
"What an charming course, highly recommend it to everyone",positive
"I am so happy with this book, it was brilliant",positive
"An fantastic experience with this course, will come back again",positive
"This movie was enjoyable, I really loved it",positive
"Absolutely weak game, one of the worst I've seen",negative
"The course fell far short of expectations, truly unpleasant",negative
"Absolutely annoying service, one of the worst I've seen",negative
"The app exceeded my expectations, truly solid",positive
"The phone fell far short of expectations, truly terrible",negative
"This show was charming, I really loved it",positive
"Such a weak laptop, I can't stop complaining about it",negative
"What a weak game, would not recommend it to anyone",negative
The hotel was superb and worth every penny,positive
"Absolutely dull movie, one of the worst I've seen",negative
"I am so happy with this restaurant, it was excellent",positive
"This app was unpleasant, I really regret it",negative
"What an enjoyable app, highly recommend it to everyone",positive
"This hotel was amazing, I really loved it",positive
"I am so disappointed with this laptop, it was boring",negative
"An great experience with this restaurant, will come back again",positive
"This book was useless, I really regret it",negative
"An amazing experience with this album, will come back again",positive
"Such a awful movie, I can't stop complaining about it",negative
"This course was fabulous, I really loved it",positive
"The book exceeded my expectations, truly excellent",positive
"Absolutely bad game, one of the worst I've seen",negative
"What an wonderful movie, highly recommend it to everyone",positive
"This laptop was great, I really loved it",positive
"This restaurant was annoying, I really regret it",negative
The phone was frustrating and a waste of money,negative
"This phone was horrible, I really regret it",negative
The phone was charming and worth every penny,positive
"What a boring app, would not recommend it to anyone",negative
"The hotel fell far short of expectations, truly boring",negative
"An solid experience with this hotel, will come back again",positive
"A poor experience with this service, will not come back",negative
"Such a delightful movie, I can't stop recommending it",positive
"A awful experience with this movie, will not come back",negative
"I am so happy with this service, it was solid",positive
"Such a wonderful game, I can't stop recommending it",positive
"I am so happy with this movie, it was superb",positive
The product was solid and worth every penny,positive
"What a weak restaurant, would not recommend it to anyone",negative
"This laptop was weak, I really regret it",negative
"I am so disappointed with this trip, it was useless",negative
"Such a enjoyable product, I can't stop recommending it",positive
"I am so disappointed with this restaurant, it was poor",negative
"Such a poor album, I can't stop complaining about it",negative
"I am so happy with this hotel, it was excellent",positive
The book was amazing and worth every penny,positive
"Such a frustrating movie, I can't stop complaining about it",negative
"A annoying experience with this book, will not come back",negative
"I am so disappointed with this trip, it was annoying",negative
The app was enjoyable and worth every penny,positive
"Absolutely boring course, one of the worst I've seen",negative
"Such a amazing game, I can't stop recommending it",positive
"An delightful experience with this movie, will come back again",positive
"I am so happy with this restaurant, it was fabulous",positive
"I am so disappointed with this laptop, it was weak",negative
The book was bad and a waste of money,negative
"A disappointing experience with this album, will not come back",negative
"A poor experience with this laptop, will not come back",negative
"What an brilliant game, highly recommend it to everyone",positive
"Absolutely excellent book, one of the best I've seen",positive
"What a dull album, would not recommend it to anyone",negative
"What an enjoyable album, highly recommend it to everyone",positive
"The course fell far short of expectations, truly horrible",negative
"What an charming product, highly recommend it to everyone",positive
"I am so disappointed with this hotel, it was annoying",negative
"A useless experience with this trip, will not come back",negative
The app was terrible and a waste of money,negative
"Such a boring book, I can't stop complaining about it",negative
"The course fell far short of expectations, truly dreadful",negative
"An fantastic experience with this movie, will come back again",positive
"I am so disappointed with this show, it was awful",negative
"I am so happy with this laptop, it was brilliant",positive
The movie was horrible and a waste of money,negative
"I am so happy with this show, it was enjoyable",positive
"I am so disappointed with this service, it was useless",negative
"The show exceeded my expectations, truly brilliant",positive
"This movie was boring, I really regret it",negative
"A boring experience with this product, will not come back",negative
"What an solid course, highly recommend it to everyone",positive
"The album exceeded my expectations, truly wonderful",positive
"A disappointing experience with this book, will not come back",negative
"A useless experience with this phone, will not come back",negative
"An superb experience with this show, will come back again",positive
"Such a poor restaurant, I can't stop complaining about it",negative
"What a terrible service, would not recommend it to anyone",negative
"I am so disappointed with this laptop, it was dull",negative
"This album was superb, I really loved it",positive
The album was great and worth every penny,positive
"Such a mediocre movie, I can't stop complaining about it",negative
"A useless experience with this game, will not come back",negative
"What an outstanding phone, highly recommend it to everyone",positive
"What an outstanding show, highly recommend it to everyone",positive
"I am so disappointed with this hotel, it was mediocre",negative
"Such a boring laptop, I can't stop complaining about it",negative
"Absolutely dreadful trip, one of the worst I've seen",negative
The course was brilliant and worth every penny,positive
"This phone was outstanding, I really loved it",positive
"A dreadful experience with this product, will not come back",negative
"What an delightful show, highly recommend it to everyone",positive
"This laptop was excellent, I really loved it",positive
"Absolutely boring show, one of the worst I've seen",negative
The movie was terrible and a waste of money,negative
"An enjoyable experience with this course, will come back again",positive
"Such a dull laptop, I can't stop complaining about it",negative
"I am so happy with this game, it was great",positive
"This restaurant was outstanding, I really loved it",positive
"Absolutely delightful product, one of the best I've seen",positive
The laptop was frustrating and a waste of money,negative
"The show fell far short of expectations, truly horrible",negative
"An enjoyable experience with this hotel, will come back again",positive
The restaurant was annoying and a waste of money,negative
"Such a terrible game, I can't stop complaining about it",negative
"The course exceeded my expectations, truly amazing",positive
"Such a great album, I can't stop recommending it",positive
"This laptop was fabulous, I really loved it",positive
The show was incredible and worth every penny,positive
"A useless experience with this course, will not come back",negative
"The laptop fell far short of expectations, truly mediocre",negative
"The show fell far short of expectations, truly unpleasant",negative
"This product was enjoyable, I really loved it",positive
"This game was useless, I really regret it",negative
"The app fell far short of expectations, truly horrible",negative
"What an fabulous game, highly recommend it to everyone",positive
"Absolutely enjoyable phone, one of the best I've seen",positive
"Such a incredible restaurant, I can't stop recommending it",positive
"Absolutely wonderful movie, one of the best I've seen",positive
"Absolutely terrible course, one of the worst I've seen",negative
"I am so happy with this trip, it was solid",positive
"A useless experience with this movie, will not come back",negative
"This service was delightful, I really loved it",positive
"I am so happy with this course, it was amazing",positive
"I am so disappointed with this service, it was dull",negative
"The hotel exceeded my expectations, truly charming",positive
"This product was annoying, I really regret it",negative
"What an charming service, highly recommend it to everyone",positive
"A unpleasant experience with this product, will not come back",negative
"This course was enjoyable, I really loved it",positive
"Such a awful hotel, I can't stop complaining about it",negative
"Such a awful trip, I can't stop complaining about it",negative
"An brilliant experience with this restaurant, will come back again",positive
"Such a terrible phone, I can't stop complaining about it",negative
"Absolutely useless app, one of the worst I've seen",negative
The movie was great and worth every penny,positive
"An superb experience with this hotel, will come back again",positive
"Such a boring service, I can't stop complaining about it",negative
"I am so happy with this restaurant, it was brilliant",positive
"This course was mediocre, I really regret it",negative
"The trip exceeded my expectations, truly incredible",positive
"The movie exceeded my expectations, truly solid",positive
"I am so happy with this game, it was solid",positive
"Absolutely charming restaurant, one of the best I've seen",positive
"I am so happy with this game, it was excellent",positive
The hotel was solid and worth every penny,positive
"Absolutely excellent course, one of the best I've seen",positive
"The hotel exceeded my expectations, truly solid",positive
"I am so disappointed with this show, it was poor",negative
"Absolutely weak show, one of the worst I've seen",negative
"An fabulous experience with this game, will come back again",positive
"A dreadful experience with this phone, will not come back",negative
"Such a wonderful show, I can't stop recommending it",positive
The restaurant was excellent and worth every penny,positive
"This trip was amazing, I really loved it",positive
"This restaurant was solid, I really loved it",positive
"The trip fell far short of expectations, truly useless",negative
"This game was dull, I really regret it",negative
"What an wonderful service, highly recommend it to everyone",positive
"The game exceeded my expectations, truly incredible",positive
"I am so disappointed with this app, it was boring",negative
"A unpleasant experience with this restaurant, will not come back",negative
"This game was brilliant, I really loved it",positive
"This trip was enjoyable, I really loved it",positive
"An fantastic experience with this product, will come back again",positive
The laptop was incredible and worth every penny,positive
The service was great and worth every penny,positive
"I am so disappointed with this hotel, it was poor",negative
"I am so disappointed with this book, it was weak",negative
"What an brilliant movie, highly recommend it to everyone",positive
"I am so happy with this trip, it was great",positive
"The course fell far short of expectations, truly terrible",negative
"The book fell far short of expectations, truly frustrating",negative
"This restaurant was fabulous, I really loved it",positive
"What an fantastic service, highly recommend it to everyone",positive
"I am so disappointed with this album, it was unpleasant",negative
"Such a poor laptop, I can't stop complaining about it",negative
"I am so happy with this phone, it was incredible",positive
The laptop was delightful and worth every penny,positive
"A unpleasant experience with this show, will not come back",negative
"I am so disappointed with this album, it was horrible",negative
"What an brilliant phone, highly recommend it to everyone",positive
"Such a useless app, I can't stop complaining about it",negative
"What a dull phone, would not recommend it to anyone",negative
"This show was annoying, I really regret it",negative
"What a bad trip, would not recommend it to anyone",negative
The product was outstanding and worth every penny,positive
"A annoying experience with this show, will not come back",negative
"Such a outstanding product, I can't stop recommending it",positive
"I am so happy with this course, it was superb",positive
"I am so happy with this course, it was enjoyable",positive
"Such a dreadful game, I can't stop complaining about it",negative
"I am so happy with this app, it was outstanding",positive
"Such a poor product, I can't stop complaining about it",negative
"The product exceeded my expectations, truly fantastic",positive
"Such a outstanding book, I can't stop recommending it",positive
"Such a mediocre restaurant, I can't stop complaining about it",negative
"The game exceeded my expectations, truly brilliant",positive
"Absolutely solid restaurant, one of the best I've seen",positive
"Such a enjoyable movie, I can't stop recommending it",positive
"Absolutely fantastic hotel, one of the best I've seen",positive
"What a annoying restaurant, would not recommend it to anyone",negative
"Absolutely superb movie, one of the best I've seen",positive
"This laptop was mediocre, I really regret it",negative
The restaurant was wonderful and worth every penny,positive
"Absolutely charming course, one of the best I've seen",positive
"Absolutely brilliant product, one of the best I've seen",positive
"This book was poor, I really regret it",negative
"Absolutely brilliant phone, one of the best I've seen",positive
"Absolutely horrible album, one of the worst I've seen",negative
"What an incredible service, highly recommend it to everyone",positive
"Such a dull album, I can't stop complaining about it",negative
"A mediocre experience with this movie, will not come back",negative
"Such a amazing book, I can't stop recommending it",positive
"An fabulous experience with this album, will come back again",positive
"Such a bad service, I can't stop complaining about it",negative
The album was weak and a waste of money,negative
"An fabulous experience with this restaurant, will come back again",positive
"Such a wonderful service, I can't stop recommending it",positive
"The album fell far short of expectations, truly frustrating",negative
"Such a excellent laptop, I can't stop recommending it",positive
"This movie was poor, I really regret it",negative
"Such a annoying app, I can't stop complaining about it",negative
"Such a brilliant phone, I can't stop recommending it",positive
"A unpleasant experience with this album, will not come back",negative
"Absolutely wonderful laptop, one of the best I've seen",positive
"What a bad game, would not recommend it to anyone",negative
"I am so disappointed with this service, it was frustrating",negative
"This service was amazing, I really loved it",positive
"I am so disappointed with this phone, it was awful",negative
"This book was amazing, I really loved it",positive
"I am so happy with this laptop, it was solid",positive
"This show was dreadful, I really regret it",negative
The service was enjoyable and worth every penny,positive
"Absolutely excellent phone, one of the best I've seen",positive
"The restaurant fell far short of expectations, truly bad",negative
"Absolutely useless hotel, one of the worst I've seen",negative
"Such a incredible trip, I can't stop recommending it",positive
"This game was bad, I really regret it",negative
"What a terrible course, would not recommend it to anyone",negative
"This service was dull, I really regret it",negative
"I am so disappointed with this course, it was annoying",negative
"I am so disappointed with this restaurant, it was frustrating",negative
"What an delightful restaurant, highly recommend it to everyone",positive
"An fantastic experience with this hotel, will come back again",positive
"A weak experience with this book, will not come back",negative
"What a terrible movie, would not recommend it to anyone",negative
"I am so happy with this product, it was brilliant",positive
"I am so happy with this service, it was brilliant",positive
"Absolutely frustrating laptop, one of the worst I've seen",negative
"An superb experience with this book, will come back again",positive
The trip was annoying and a waste of money,negative
The album was fabulous and worth every penny,positive
"What an excellent movie, highly recommend it to everyone",positive
"What a horrible game, would not recommend it to anyone",negative
"An enjoyable experience with this phone, will come back again",positive
"I am so happy with this app, it was solid",positive
"Such a wonderful laptop, I can't stop recommending it",positive
"This book was dreadful, I really regret it",negative
"A annoying experience with this hotel, will not come back",negative
"Such a dull hotel, I can't stop complaining about it",negative
"A dull experience with this movie, will not come back",negative
"An amazing experience with this trip, will come back again",positive
The game was frustrating and a waste of money,negative
"I am so disappointed with this app, it was frustrating",negative
"Such a annoying game, I can't stop complaining about it",negative
"This product was fantastic, I really loved it",positive
"An charming experience with this movie, will come back again",positive
"Such a unpleasant book, I can't stop complaining about it",negative
"What a frustrating course, would not recommend it to anyone",negative
"I am so happy with this service, it was delightful",positive
"What a unpleasant hotel, would not recommend it to anyone",negative
"Absolutely wonderful hotel, one of the best I've seen",positive
"An solid experience with this service, will come back again",positive
"The album fell far short of expectations, truly bad",negative
"An solid experience with this laptop, will come back again",positive
"Such a fantastic hotel, I can't stop recommending it",positive
"Absolutely brilliant trip, one of the best I've seen",positive
"The service fell far short of expectations, truly terrible",negative
"A dull experience with this book, will not come back",negative
"Such a terrible service, I can't stop complaining about it",negative
"What a disappointing laptop, would not recommend it to anyone",negative
"Absolutely great movie, one of the best I've seen",positive
"An wonderful experience with this book, will come back again",positive
"I am so happy with this hotel, it was great",positive
"This course was useless, I really regret it",negative
"Absolutely terrible product, one of the worst I've seen",negative
"What a unpleasant album, would not recommend it to anyone",negative
"What a frustrating app, would not recommend it to anyone",negative
"The album fell far short of expectations, truly weak",negative
"What a mediocre service, would not recommend it to anyone",negative
"This product was horrible, I really regret it",negative
"This course was incredible, I really loved it",positive
"The trip exceeded my expectations, truly brilliant",positive
"Such a excellent phone, I can't stop recommending it",positive
"The book fell far short of expectations, truly useless",negative
"This book was impressive, I really loved it",positive
"The game fell far short of expectations, truly mediocre",negative
"What an superb hotel, highly recommend it to everyone",positive
"I am so happy with this laptop, it was amazing",positive
"Absolutely incredible service, one of the best I've seen",positive
"This service was frustrating, I really regret it",negative
"This album was useless, I really regret it",negative
"The phone exceeded my expectations, truly impressive",positive
"Such a superb show, I can't stop recommending it",positive
"The course exceeded my expectations, truly great",positive
"A awful experience with this app, will not come back",negative
"What an charming show, highly recommend it to everyone",positive
"An enjoyable experience with this show, will come back again",positive
"Such a dull trip, I can't stop complaining about it",negative
"What an superb laptop, highly recommend it to everyone",positive
"What a bad album, would not recommend it to anyone",negative
"The hotel fell far short of expectations, truly annoying",negative
The game was poor and a waste of money,negative
"What an solid product, highly recommend it to everyone",positive
"The restaurant exceeded my expectations, truly excellent",positive
"The laptop exceeded my expectations, truly great",positive
"Absolutely fabulous game, one of the best I've seen",positive
"The hotel exceeded my expectations, truly great",positive
"Absolutely superb restaurant, one of the best I've seen",positive
"An solid experience with this phone, will come back again",positive
"I am so disappointed with this game, it was poor",negative
"This phone was dreadful, I really regret it",negative
"I am so disappointed with this phone, it was mediocre",negative
"The hotel fell far short of expectations, truly horrible",negative
"Absolutely fantastic app, one of the best I've seen",positive
"The laptop exceeded my expectations, truly excellent",positive
"The show exceeded my expectations, truly excellent",positive
"A disappointing experience with this laptop, will not come back",negative
"Such a fantastic restaurant, I can't stop recommending it",positive
The product was boring and a waste of money,negative
The phone was brilliant and worth every penny,positive
"Such a terrible show, I can't stop complaining about it",negative
"Such a annoying trip, I can't stop complaining about it",negative
"What an fantastic game, highly recommend it to everyone",positive
"This hotel was annoying, I really regret it",negative
"Absolutely wonderful album, one of the best I've seen",positive
"A weak experience with this course, will not come back",negative
"This restaurant was disappointing, I really regret it",negative
"The game exceeded my expectations, truly outstanding",positive
"What a terrible game, would not recommend it to anyone",negative
"Such a mediocre product, I can't stop complaining about it",negative
"A terrible experience with this phone, will not come back",negative
"The trip fell far short of expectations, truly terrible",negative
"What a unpleasant app, would not recommend it to anyone",negative
"What an impressive restaurant, highly recommend it to everyone",positive
"An superb experience with this app, will come back again",positive
"An great experience with this book, will come back again",positive
"This album was impressive, I really loved it",positive
"Absolutely superb trip, one of the best I've seen",positive
"Such a awful phone, I can't stop complaining about it",negative
"A boring experience with this course, will not come back",negative
"An wonderful experience with this laptop, will come back again",positive
"This book was excellent, I really loved it",positive
"An enjoyable experience with this album, will come back again",positive
"What a boring hotel, would not recommend it to anyone",negative
The phone was fantastic and worth every penny,positive
"The laptop fell far short of expectations, truly annoying",negative
"This movie was fantastic, I really loved it",positive
"I am so happy with this laptop, it was outstanding",positive
"Such a amazing hotel, I can't stop recommending it",positive
"Absolutely useless product, one of the worst I've seen",negative
"The service exceeded my expectations, truly impressive",positive
"Such a boring show, I can't stop complaining about it",negative
"This service was fabulous, I really loved it",positive
The product was excellent and worth every penny,positive
"An amazing experience with this phone, will come back again",positive
"What a dull movie, would not recommend it to anyone",negative
"Absolutely frustrating album, one of the worst I've seen",negative
The show was weak and a waste of money,negative
"A dull experience with this trip, will not come back",negative
The phone was mediocre and a waste of money,negative
"What a dreadful hotel, would not recommend it to anyone",negative
"An wonderful experience with this service, will come back again",positive
"What a disappointing restaurant, would not recommend it to anyone",negative
"The product fell far short of expectations, truly frustrating",negative
"The service exceeded my expectations, truly wonderful",positive
"Absolutely charming service, one of the best I've seen",positive
"I am so happy with this show, it was charming",positive
"What a dull service, would not recommend it to anyone",negative
"Absolutely amazing trip, one of the best I've seen",positive
"The album exceeded my expectations, truly delightful",positive
The show was boring and a waste of money,negative
"Absolutely boring game, one of the worst I've seen",negative
The restaurant was poor and a waste of money,negative
"Such a fantastic app, I can't stop recommending it",positive
"What an solid phone, highly recommend it to everyone",positive
"An enjoyable experience with this laptop, will come back again",positive
"I am so happy with this show, it was wonderful",positive
"A annoying experience with this restaurant, will not come back",negative
"The movie fell far short of expectations, truly mediocre",negative
The show was annoying and a waste of money,negative
"An wonderful experience with this app, will come back again",positive
"Absolutely solid movie, one of the best I've seen",positive
The trip was superb and worth every penny,positive
"I am so disappointed with this course, it was boring",negative
"The book fell far short of expectations, truly horrible",negative
"Such a wonderful product, I can't stop recommending it",positive
"I am so disappointed with this course, it was awful",negative
"This app was fabulous, I really loved it",positive
"A dull experience with this game, will not come back",negative
The hotel was dull and a waste of money,negative
"The movie fell far short of expectations, truly horrible",negative
"What a useless trip, would not recommend it to anyone",negative
"An wonderful experience with this product, will come back again",positive
"This phone was brilliant, I really loved it",positive
The phone was unpleasant and a waste of money,negative
"The laptop fell far short of expectations, truly weak",negative
"This laptop was solid, I really loved it",positive
"Absolutely amazing app, one of the best I've seen",positive
"Such a superb hotel, I can't stop recommending it",positive
"A dull experience with this show, will not come back",negative
"Such a incredible phone, I can't stop recommending it",positive
"Such a boring product, I can't stop complaining about it",negative
"This phone was excellent, I really loved it",positive
"The show exceeded my expectations, truly fabulous",positive
"This show was bad, I really regret it",negative
"This trip was unpleasant, I really regret it",negative
The app was horrible and a waste of money,negative
"The restaurant fell far short of expectations, truly awful",negative
"Such a incredible show, I can't stop recommending it",positive
"The product exceeded my expectations, truly fabulous",positive
"An solid experience with this restaurant, will come back again",positive
"An amazing experience with this app, will come back again",positive
"Absolutely dreadful show, one of the worst I've seen",negative
"What a useless book, would not recommend it to anyone",negative
"I am so disappointed with this laptop, it was horrible",negative
"Absolutely dull course, one of the worst I've seen",negative
"Absolutely weak album, one of the worst I've seen",negative
"The book exceeded my expectations, truly great",positive
"An delightful experience with this game, will come back again",positive
"Such a mediocre game, I can't stop complaining about it",negative
The show was charming and worth every penny,positive
"I am so disappointed with this book, it was unpleasant",negative
"The product exceeded my expectations, truly wonderful",positive
"A frustrating experience with this album, will not come back",negative
"Such a wonderful album, I can't stop recommending it",positive
"What a disappointing app, would not recommend it to anyone",negative
"I am so disappointed with this book, it was awful",negative
"This movie was frustrating, I really regret it",negative
"The app fell far short of expectations, truly dull",negative
"This phone was boring, I really regret it",negative
"This trip was bad, I really regret it",negative
"What a annoying show, would not recommend it to anyone",negative
"This hotel was bad, I really regret it",negative
"This movie was amazing, I really loved it",positive
"Absolutely delightful show, one of the best I've seen",positive
"I am so happy with this product, it was enjoyable",positive
"Absolutely mediocre laptop, one of the worst I've seen",negative
"A dull experience with this restaurant, will not come back",negative
"Absolutely unpleasant book, one of the worst I've seen",negative
"This restaurant was dull, I really regret it",negative
"An solid experience with this product, will come back again",positive
"I am so happy with this app, it was fantastic",positive
The book was incredible and worth every penny,positive
"This show was solid, I really loved it",positive
"Absolutely outstanding book, one of the best I've seen",positive
"What a annoying product, would not recommend it to anyone",negative
